"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies the Company column header is visible in the attendee table.","1362","Company column header is visible in attendee table","mobile","2026-03-18","failed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies that attendee list column headers are visible at a 375px mobile viewport.","1030","Attendee list columns readable at mobile width","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies seat count or capacity info is visible on roundtable cards.","1196","seat count indicator is visible on cards","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies the roundtable creation page has a browser tab title.","787","create page document title is non-empty","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that each key page has a non-empty document title (browser tab label) at 375px.","1730","Page title visible in mobile browser tab","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies multiple cards have positive dimensions and do not overlap vertically.","1222","multiple roundtable cards render without layout breakage","desktop","2026-03-18","failed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that the Company column header is present, indicating the Bizzabo company field is mapped.","996","Bizzabo field mapping — company field populated for synced attendee","desktop","2026-03-18","passed","2026-03-18","Bizzabo Sync — Edge Cases","Bizzabo Sync — Edge Cases","",""
"Verifies the roundtable creation wizard loads with step 1 visible.","1092","roundtable creation flow step 1 renders","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies sorting by Company column leaves the table intact and email-free.","1066","sort by Company column does not break the table","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies that search and sort work together without breaking the table.","1013","filter and sort can be applied simultaneously","desktop","2026-03-18","passed","2026-03-18","Attendee List — Edge Cases","Attendee List — Edge Cases","",""
"Verifies the Attendee List section is visible on the home page.","1000","1.1 Attendee List section is visible at the top of the app","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Attendee List — Happy Path","",""
"Verifies the invite dialog search either returns attendee results or shows an empty state.","945","invite dialog search returns results or shows empty state","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the browser back button navigates away from the private meetings page.","1311","back navigation from private meetings page works","desktop","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies no raw ""undefined"" appears from missing data on the browse page.","900","no ""undefined"" text on roundtables browse page","desktop","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies an RSVP button is accessible on at least one roundtable card.","1124","RSVP button is visible on an available roundtable card","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies the delete confirmation dialog can be dismissed by pressing Escape.","970","delete confirmation modal dismisses with Escape key","mobile","2026-03-18","passed","2026-03-18","Private Meetings — Edge Cases","Private Meetings — Edge Cases","",""
"Verifies the roundtables browse page contains a main content region for accessibility.","1013","browse page has a main landmark or content region","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
"Verifies that clicking the sync button triggers a re-sync and the list remains intact afterward.","6219","Manual re-sync updates the attendee list","mobile","2026-03-18","failed","2026-03-18","Phase 4 — Bizzabo Sync","Phase 4 — Bizzabo Sync","",""
"Verifies that host company and job title information appears on roundtable cards on the browse page.","1141","3.1 Host company and job title are displayed on the roundtables browse page","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Roundtables — Happy Path","",""
"Verifies that a confirmation dialog appears when attempting to delete a roundtable.","33341","delete confirmation dialog appears before roundtable is removed","mobile","2026-03-18","passed","2026-03-18","Roundtables — Edge Cases","Roundtables — Edge Cases","",""
