"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the attendee list can be sorted by Name, Company, and Job Title.","1662","1.4 Attendee list can be sorted by Name, Company, and Job Title","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies that each attendee row shows an invitation status value.","1293","1.6 Invitation status values are displayed per attendee row","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies the FAQ heading is present on the /faq route.","1292","5.2 FAQ page contains the Frequently Asked Questions section","desktop","2026-03-18","passed","2026-03-18","Phase 5 — FAQ Page","Phase 5 — FAQ Page","",""
"Verifies that buttons have non-zero bounding boxes on mobile (tappable touch targets).","1128","6.2 Buttons and forms are tappable on mobile screen","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that a participant can cancel their RSVP or seat for a roundtable.","1523","3.5 Participant can cancel their RSVP or seat","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies the FAQ heading is visible on the /faq route on mobile.","1784","6.4 FAQ page renders with content on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that Roundtable Invite and Private Meeting Invite columns appear in the attendee table header.","1310","1.5 Invitation status columns are shown in the attendee table header","mobile","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies the FAQ heading is visible on the home page.","1298","5.1 FAQ section is accessible from the home page","mobile","2026-03-18","passed","2026-03-18","Phase 5 — FAQ Page","Phase 5 — FAQ Page","",""
"Verifies that the host email is not shown in the invite dialog attendee list.","1066","2.2 Host does not see their own email or name in the invite list","mobile","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Phase 2 — Private Meetings","",""
"Verifies that host company and job title information appears on roundtable cards on the browse page.","1274","3.1 Host company and job title are displayed on the roundtables browse page","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies that a host can delete or cancel a roundtable and the confirmation dialog closes.","33770","3.4 Host can delete or cancel a roundtable","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies that each attendee row shows an invitation status value.","1773","1.6 Invitation status values are displayed per attendee row","desktop","2026-03-18","passed","2026-03-18","Phase 1 — Attendee List","Phase 1 — Attendee List","",""
"Verifies sort buttons are visible and have valid bounding boxes on mobile.","1688","6.6 Attendee list sort controls are tappable on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that a participant can cancel their RSVP or seat for a roundtable.","1378","3.5 Participant can cancel their RSVP or seat","mobile","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies timezone text is visible on the private meetings page on mobile.","1052","6.7 Timezone is displayed on private meetings page on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that the host email is not shown in the invite dialog attendee list.","5654","2.2 Host does not see their own email or name in the invite list","desktop","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Phase 2 — Private Meetings","",""
"Verifies that navigation (hamburger menu on mobile, nav bar on desktop) is visible.","1132","6.1 All main navigation links are functional on mobile","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies that buttons have non-zero bounding boxes on mobile (tappable touch targets).","1148","6.2 Buttons and forms are tappable on mobile screen","mobile","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies a host can delete a private meeting on mobile with a tappable delete button.","1028","6.8 Host can delete a private meeting on mobile","desktop","2026-03-18","passed","2026-03-18","Phase 6 — Mobile Interface","Phase 6 — Mobile Interface","",""
"Verifies the FAQ heading is present on the /faq route.","1321","5.2 FAQ page contains the Frequently Asked Questions section","mobile","2026-03-18","passed","2026-03-18","Phase 5 — FAQ Page","Phase 5 — FAQ Page","",""
"Verifies the FAQ heading is visible on the home page.","1308","5.1 FAQ section is accessible from the home page","desktop","2026-03-18","passed","2026-03-18","Phase 5 — FAQ Page","Phase 5 — FAQ Page","",""
"Verifies that host company and job title information appears on roundtable cards on the browse page.","1240","3.1 Host company and job title are displayed on the roundtables browse page","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
"Verifies that a timezone label is shown on the private meetings management page.","1130","2.1 Timezone is displayed during time slot selection","mobile","2026-03-18","passed","2026-03-18","Phase 2 — Private Meetings","Phase 2 — Private Meetings","",""
"Verifies that a host can open the edit form for a roundtable and that the title and description fields are editable.","34209","3.3 Host can edit roundtable title and description","desktop","2026-03-18","passed","2026-03-18","Phase 3 — Roundtables","Phase 3 — Roundtables","",""
